275658-275658	210072	0-1466749621
275659-275775	240290	1466749897-1466845440
275776-275777	236939	1466845882-1466856521
275778-275781	150883	1466856794-1466863894
275782-275831	376189	1466865887-1466883650
275832-275832	240215	1466961482-1466970023
275833-275833	151200	1466970305-1466976146
275834-275834	168383	1466976360-1466983274
275835-275836	638029	1466983462-1467014046
275837-275846	308415	1467014350-1467031274
275847-275885	754863	1467035961-1467088714
275886-275910	779455	1467103237-1467138536
275911-275911	235144	1467138536-1467173802
275912-275912	166175	1467174081-1467180802
275913-275917	243159	1467181194-1467192243
275918-275919	156203	1467192559-1467200974
275920-275920	222230	1467201399-1467212062
275921-276091	157018	1467212368-1467250694
276092-276241	364786	1467339312-1467354268
276242-276242	868409	1467468346-1467507122
276243-276243	281792	1467507408-1467521605
276244-276281	474708	1467522258-1467550229
276282-276282	500987	1467569733-1467594585
276283-276314	417325	1467594861-1467620144
276315-276317	145535	1467631160-1467638783
276318-276354	237931	1467639052-1467652259
276355-276362	371017	1467668387-1467691171
276363-276383	510661	1467691655-1467726186
276384-276436	307772	1467726433-1467752440
276437-276453	855776	1467773959-1467823531
276454-276457	157020	1467828493-1467840778
276458-276500	170051	1467856820-1467894693
276501-276501	924340	1467895667-1467954950
276502-276524	208434	1467955290-1467972526
276525-276526	982989	1467987323-1468052715
276527-276541	157014	1468053280-1468067622
276542-276542	345584	1468081950-1468100195
276543-276543	350948	1468100379-1468122570
276544-276580	122057	1468122843-1468131705
276581-276581	170378	1468153482-1468161978
276582-276582	348343	1468162347-1468182638
276583-276585	101896	1468182867-1468192000
276586-276586	240810	1468192232-1468210220
276587-276652	270448	1468210422-1468233850
276653-276654	202936	1468282357-1468293513
276655-276658	387638	1468293986-1468319749
276659-276775	557095	1468319952-1468385866
276776-276793	573624	1468386148-1468428638
276794-276806	225215	1468429518-1468450147
276807-276809	454919	1468466675-1468490918
276810-276810	108523	1468491343-1468498013
276811-276830	779104	1468498533-1468558279
276831-276833	974546	1468568895-1468630373
276834-276869	189004	1468633329-1468649865
276870-276934	1257889	1468666960-1468746340
276935-276939	389102	1468798833-1468818095
276940-276947	130212	1468829638-1468839893
276948-276949	196572	1468840185-1468851208
276950-277068	780658	1468851404-1468906254
277069-277069	167806	1468950748-1468957956
277070-277070	465776	1468958049-1468982733
277071-277072	225175	1468982916-1468998161
277073-277086	341226	1468998592-1469025530
277087-277093	232210	1469036960-1469059991
277094-277095	289248	1469073835-1469087430
277096-277111	743773	1469087773-1469136345
277112-277147	453448	1469136573-1469172995
277148-277165	282005	1469183507-1469197849
277166-277167	156981	1469211064-1469219286
277168-277179	744925	1469219705-1469271512
277180-277304	877002	1469281107-1469343949
277305-277419	329303	1469409827-1469425714
277420-277980	129930	1469475906-1469481984
277981-278017	368099	1470052448-1470105960
278018-278166	482983	1470106320-1470133850
278167-278174	790154	1470249555-1470300153
278175-278238	103526	1470300296-1470317516
278239-278239	312972	1470353008-1470368478
278240-278272	479798	1470368813-1470399327
278273-278309	862428	1470418677-1470529511
278310-278314	222791	1470530855-1470547382
278315-278344	331204	1470567431-1470583611
278345-278345	359801	1470615232-1470632631
278346-278365	284225	1470632893-1470651891
278366-278405	149267	1470652606-1470663165
278406-278508	706141	1470676582-1470713800
278509-278768	649995	1470767381-1470801550
278769-278800	426202	1471070360-1471089118
278801-278803	205951	1471099440-1471108575
278804-278807	141999	1471108805-1471115696
278808-278808	697376	1471116317-1471158114
