273158-273301	289104	0-1463029161
273302-273402	102825	1463105616-1463195039
273403-273424	102323	1463195125-1463212204
273425-273445	124874	1463224700-1463240323
273446-273447	115312	1463256413-1463267171
273448-273449	141918	1463267510-1463281860
273450-273491	140504	1463282376-1463297458
273492-273501	135041	1463389716-1463406194
273502-273502	204042	1463428823-1463451911
273503-273553	107706	1463452284-1463466224
273554-273554	103803	1463549471-1463557836
273555-273727	701538	1463558149-1463769251
273728-274093	416412	1463770944-1463823202
274094-274160	161948	1464315658-1464452583
274161-274171	173179	1464452776-1464464804
274172-274199	327451	1464482739-1464569226
274200-274239	250417	1464569626-1464585337
274240-274243	519847	1464616771-1464646821
274244-274249	239759	1464647870-1464661693
274250-274250	308441	1464674153-1464690452
274251-274282	227015	1464690652-1464703380
274283-274285	102310	1464751524-1464756985
274286-274314	105014	1464757456-1464794812
274315-274315	225684	1464795151-1464805013
274316-274316	428209	1464805224-1464827568
274317-274335	553217	1464827992-1464880630
274336-274338	326398	1464881101-1464898333
274339-274344	303684	1464898538-1464917556
274345-274387	284040	1464917864-1464989194
274388-274419	845490	1464989556-1465031982
274420-274421	257079	1465071462-1465083634
274422-274439	972713	1465084010-1465135457
274440-274440	197662	1465155189-1465164511
274441-274441	201519	1465164785-1465174828
274442-274953	338780	1465175107-1465192637
274954-274968	680345	1465638105-1465713263
274969-274969	472565	1465713713-1465737068
274970-274997	380354	1465737173-1465759505
274998-274998	373639	1465791606-1465808335
274999-274999	594686	1465808684-1465837605
275000-275058	798724	1465838133-1465889604
275059-275067	303496	1465923010-1465938034
275068-275072	453077	1465938354-1465959670
275073-275073	248198	1465961566-1465973607
275074-275123	275263	1465973818-1465988900
275124-275124	178387	1466013073-1466020602
275125-275281	477273	1466020820-1466043874
275282-275283	119886	1466121974-1466127248
275284-275291	211687	1466127412-1466145783
275292-275308	144609	1466146005-1466153731
275309-275309	274345	1466171319-1466184414
275310-275310	789241	1466184771-1466229724
275311-275318	390744	1466230026-1466259235
275319-275337	290851	1466276205-1466295098
275338-275343	249142	1466295335-1466307457
275344-275344	155928	1466324325-1466330848
275345-275369	183243	1466331130-1466339359
275370-275370	159740	1466353203-1466359803
275371-275374	289673	1466360208-1466373472
275375-275375	644051	1466389030-1466419862
275376-275656	1133194	1466420102-1466492273
275657-275658	276484	1466739151-1466749621
275659-275768	143150	1466749897-1466834891
275769-275775	222311	1466835115-1466845440
275776-275777	236939	1466845882-1466856521
275778-275780	150883	1466856794-1466863894
275781-275827	390169	1466865005-1466883667
275828-275831	117603	1466955631-1466961281
275832-275832	240215	1466961482-1466970023
275833-275833	153049	1466970305-1466976146
275834-275834	168383	1466976360-1466983274
275835-275836	645915	1466983462-1467014046
275837-275840	308917	1467014350-1467031296
275841-275885	774624	1467033455-1467088736
275886-275910	811287	1467103237-1467138555
275911-275911	236456	1467165013-1467173802
275912-275912	166175	1467174081-1467180802
275913-275917	243159	1467181194-1467192243
275918-275919	169672	1467192559-1467200986
275920-275920	222230	1467201399-1467212062
275921-275962	108217	1467212368-1467220156
275963-276094	112387	1467248594-1467341036
276095-276241	318385	1467341802-1467354278
276242-276242	881042	1467468346-1467507122
276243-276243	282843	1467507408-1467521605
276244-276281	474827	1467522258-1467550240
276282-276282	501951	1467569733-1467594585
276283-276314	417527	1467594861-1467620158
276315-276317	145535	1467631160-1467638783
276318-276354	237931	1467639052-1467652259
276355-276362	371017	1467668387-1467691171
276363-276383	510661	1467691655-1467726186
276384-276436	307772	1467726433-1467752440
276437-276453	855776	1467773959-1467823531
276454-276457	157020	1467828493-1467840778
276458-276500	170051	1467856820-1467894693
276501-276501	924340	1467895667-1467954950
276502-276524	208434	1467955290-1467972526
276525-276526	982989	1467987323-1468052715
276527-276541	157014	1468053280-1468067622
276542-276542	345584	1468081950-1468100195
276543-276543	350948	1468100379-1468122570
276544-276580	122057	1468122843-1468131705
276581-276581	170378	1468153482-1468161978
276582-276582	348343	1468162347-1468182638
276583-276585	101896	1468182867-1468192000
276586-276586	240810	1468192232-1468210220
276587-276652	270448	1468210422-1468233850
276653-276654	202936	1468282357-1468293513
276655-276658	387638	1468293986-1468319749
276659-276775	557095	1468319952-1468385866
276776-276793	573624	1468386148-1468428638
276794-276806	225215	1468429518-1468450147
276807-276809	454919	1468466675-1468490918
276810-276810	108523	1468491343-1468498013
276811-276811	779104	1468498533-1468558279
