276831-276833	268109	1468568895-1468630373
276834-276869	52864	1468633329-1468649865
276870-276934	343917	1468666960-1468746340
276935-276939	101584	1468798833-1468818095
276940-276949	85780	1468829638-1468851058
276950-277068	218994	1468851404-1468906254
277069-277070	165351	1468950749-1468982733
277071-277072	63071	1468982916-1468998160
277073-277086	95846	1468998593-1469025530
277087-277093	63384	1469036960-1469059991
277094-277095	73379	1469073835-1469087430
277096-277111	208354	1469087773-1469136266
277112-277147	121382	1469136573-1469172994
277148-277165	74514	1469183508-1469197849
277166-277179	252024	1469211065-1469271512
277180-277304	235567	1469281107-1469343949
277305-277419	84075	1469409827-1469425714
277420-278016	50271	1469475907-1470075815
278017-278017	64042	1470094034-1470105960
278018-278166	128548	1470106320-1470133850
278167-278174	213797	1470249556-1470300153
278175-278239	108727	1470300297-1470368478
278240-278272	134801	1470368813-1470399326
278273-278309	220192	1470418677-1470529511
278310-278314	61802	1470530855-1470547382
278315-278344	83013	1470567431-1470583611
278345-278345	89443	1470615232-1470632631
278346-278365	68082	1470632894-1470651891
278366-278508	227512	1470652606-1470713800
278509-278768	170037	1470767381-1470801550
278769-278800	110285	1471070360-1471089118
278801-278803	54934	1471099441-1471108575
278804-278819	237142	1471108805-1471158114
278820-278821	202899	1471172473-1471207807
278822-278872	142931	1471211566-1471249493
278873-278874	58910	1471303573-1471316241
278875-278922	83572	1471316479-1471335919
278923-278956	65720	1471349805-1471359418
278957-278962	75895	1471383115-1471404036
278963-278974	222087	1471404296-1471450622
278975-278975	88988	1471450996-1471470789
278976-279028	58364	1471471095-1471566528
279029-279114	54730	1471573179-1471650228
279115-279115	58675	1471730908-1471740375
279116-279478	63204	1471743373-1471753805
279479-279588	168424	1472099619-1472186330
