273158-273445	118074	1462999437-1463240323
273446-273492	100411	1463256413-1463395897
273493-273554	111408	1463396148-1463557836
273555-273727	157974	1463558149-1463769251
273728-274145	104118	1463770947-1464320903
274146-274199	147999	1464387080-1464569226
274200-274243	190202	1464569626-1464646821
274244-274250	135361	1464647870-1464690452
274251-274313	101884	1464690652-1464761046
274314-274316	178106	1464793435-1464827568
274317-274335	144325	1464827993-1464880630
274336-274344	158077	1464881101-1464917556
274345-274419	288990	1464917864-1465031982
274420-274439	312350	1465071462-1465135457
274440-274441	104537	1465155190-1465174828
274442-274968	251377	1465175108-1465713263
274969-274969	115320	1465713713-1465736982
274970-274998	186838	1465737176-1465808335
274999-274999	145442	1465808684-1465837605
275000-275058	200855	1465838134-1465889604
275059-275072	187741	1465923011-1465959670
275073-275123	129853	1465961566-1465988900
275124-275281	164549	1466013073-1466043874
275282-275308	119985	1466121974-1466153731
275309-275310	269849	1466171319-1466229724
275311-275318	100118	1466230026-1466259235
275319-275343	135369	1466276205-1466307457
275344-275370	122717	1466324325-1466359803
275371-275375	235699	1466360209-1466419862
275376-275656	289692	1466420102-1466492273
275657-275775	116709	0-1466845438
275776-275831	183103	1466845882-1466883649
275832-275834	127979	1466961482-1466983274
275835-275836	154719	1466983462-1467014046
275837-275885	259602	1467014350-1467088713
275886-275910	185844	1467103237-1467138535
275911-275917	151969	1467165013-1467192243
275918-275930	105733	1467192559-1467216351
275931-276241	106423	1467218061-1467354268
276242-276242	208411	1467468346-1467507122
276243-276281	185435	1467507408-1467550228
276282-276282	133644	1467569733-1467594585
276283-276314	117773	1467594861-1467620144
276315-276354	105262	1467631160-1467652259
276355-276362	103500	1467668387-1467691171
276363-276383	146241	1467691655-1467726186
276384-276453	328132	1467726433-1467823531
276454-276501	365368	1467828494-1467954950
276502-276526	341938	1467955290-1468052715
276527-276542	139866	1468053280-1468100032
276543-276543	101185	1468100379-1468122569
276544-276582	180040	1468122843-1468182638
276583-276652	177485	1468182867-1468233850
276653-276658	168246	1468282357-1468319749
276659-276775	155860	1468319953-1468385828
276776-276793	166452	1468386148-1468428637
276794-276809	185954	1468429518-1468490917
276810-276811	246221	1468491344-1468558279
